Symbol,Date,IsCircuit
NSE:ODIGMA,2025-09-22,1
NSE:RVTH,2025-09-22,1
NSE:ZEELEARN,2025-09-22,1
NSE:KESORAMIND,2025-09-19,1
NSE:ODIGMA,2025-09-19,1
NSE:RVTH,2025-09-19,1
NSE:TARAPUR,2025-09-18,1
NSE:RVTH,2025-09-18,1
NSE:RVTH,2025-09-17,1
NSE:ROLLT,2025-09-17,1
NSE:SEJALLTD,2025-09-17,1
NSE:RVTH,2025-09-16,1
NSE:SEJALLTD,2025-09-16,1
NSE:TIL,2025-09-16,1
NSE:BAJEL,2025-09-15,1
NSE:SEJALLTD,2025-09-15,1
NSE:TIL,2025-09-15,1
NSE:SEJALLTD,2025-09-12,1
NSE:ELECTHERM,2025-09-11,1
NSE:SEJALLTD,2025-09-11,1
NSE:SEJALLTD,2025-09-10,1
NSE:VLEGOV,2025-09-10,1
NSE:SALSTEEL,2025-09-09,1
NSE:PFOCUS,2025-09-08,1
NSE:SALSTEEL,2025-09-08,1
NSE:SALSTEEL,2025-09-05,1
NSE:SPCENET,2025-09-04,1
NSE:HINDNATGLS,2025-09-02,1
NSE:FLEXITUFF,2025-09-01,1
NSE:HINDNATGLS,2025-09-01,1
NSE:JPOLYINVST,2025-09-01,1
NSE:FLEXITUFF,2025-08-29,1
NSE:HINDNATGLS,2025-08-29,1
NSE:HINDNATGLS,2025-08-28,1
NSE:OSWALSEEDS,2025-08-28,1
NSE:HINDNATGLS,2025-08-26,1
NSE:KITEX,2025-08-26,1
NSE:OSWALSEEDS,2025-08-26,1
NSE:SILGO,2025-08-26,1
NSE:FLEXITUFF,2025-08-25,1
NSE:HINDNATGLS,2025-08-25,1
NSE:FLEXITUFF,2025-08-22,1
NSE:HINDNATGLS,2025-08-22,1
NSE:OSWALSEEDS,2025-08-22,1
NSE:FLEXITUFF,2025-08-21,1
NSE:HINDNATGLS,2025-08-21,1
NSE:SADBHAV,2025-08-21,1
NSE:OSWALSEEDS,2025-08-21,1
NSE:OSWALSEEDS,2025-08-20,1
NSE:BCG,2025-08-19,1
NSE:HINDNATGLS,2025-08-19,1
NSE:BCG,2025-08-18,1
NSE:INDOTECH,2025-08-14,1
NSE:OSWALSEEDS,2025-08-14,1
NSE:INDOTECH,2025-08-13,1
NSE:KITEX,2025-08-13,1
NSE:OSWALSEEDS,2025-08-13,1
NSE:ASIANHOTNR,2025-08-12,1
NSE:INDOTECH,2025-08-12,1
NSE:KITEX,2025-08-11,1
NSE:KITEX,2025-08-08,1
NSE:KITEX,2025-08-07,1
NSE:BANKA,2025-08-06,1
NSE:BGRENERGY,2025-08-05,1
NSE:HEADSUP,2025-08-05,1
NSE:KITEX,2025-08-05,1
NSE:BGRENERGY,2025-08-04,1
NSE:HEADSUP,2025-08-04,1
NSE:ORTINGLOBE,2025-08-04,1
NSE:ORCHPHARMA,2025-08-01,1
NSE:ORTINGLOBE,2025-08-01,1
NSE:V2RETAIL,2025-08-01,1
NSE:ELECTHERM,2025-07-31,1
NSE:GVT&D,2025-07-31,1
NSE:ORCHPHARMA,2025-07-31,1
NSE:ELECTHERM,2025-07-30,1
NSE:GVT&D,2025-07-30,1
NSE:ORTINGLOBE,2025-07-30,1
NSE:ZENTEC,2025-07-30,1
NSE:ZENTEC,2025-07-29,1
NSE:ZENTEC,2025-07-28,1
NSE:E2E,2025-07-25,1
NSE:RAJOOENG,2025-07-25,1
NSE:BANKA,2025-07-24,1
NSE:BCG,2025-07-24,1
NSE:E2E,2025-07-24,1
NSE:RAJOOENG,2025-07-24,1
NSE:BANKA,2025-07-23,1
NSE:BCG,2025-07-23,1
NSE:E2E,2025-07-23,1
NSE:MANAKCOAT,2025-07-23,1
NSE:BIL,2025-07-22,1
NSE:BCG,2025-07-22,1
NSE:ELECTHERM,2025-07-18,1
NSE:SABTNL,2025-07-16,1
NSE:EXCEL,2025-07-15,1
NSE:SABTNL,2025-07-15,1
NSE:SOMATEX,2025-07-14,1
NSE:SABTNL,2025-07-14,1
NSE:TECILCHEM,2025-07-14,1
NSE:MANAKSTEEL,2025-07-10,1
NSE:SOMATEX,2025-07-10,1
NSE:SABTNL,2025-07-10,1
NSE:SABTNL,2025-07-09,1
NSE:AKI,2025-07-08,1
NSE:SABTNL,2025-07-08,1
NSE:SABTNL,2025-07-07,1
NSE:IRIS,2025-07-04,1
NSE:SUMEETINDS,2025-07-04,1
NSE:IRIS,2025-07-03,1
NSE:SABTNL,2025-07-03,1
NSE:SUMEETINDS,2025-07-03,1
NSE:SABTNL,2025-07-02,1
NSE:TIJARIA,2025-07-02,1
NSE:ABMINTLLTD,2025-07-01,1
NSE:CALSOFT,2025-07-01,1
NSE:GABRIEL,2025-07-01,1
NSE:SABTNL,2025-07-01,1
NSE:THOMASCOTT,2025-07-01,1
NSE:ABMINTLLTD,2025-06-30,1
NSE:GATECHDVR,2025-06-30,1
NSE:NIRAJISPAT,2025-06-27,1
NSE:CALSOFT,2025-06-26,1
NSE:SABTNL,2025-06-26,1
NSE:CALSOFT,2025-06-25,1
NSE:NIRAJISPAT,2025-06-25,1
NSE:SABTNL,2025-06-25,1
NSE:NIRAJISPAT,2025-06-24,1
NSE:SABTNL,2025-06-24,1
NSE:CALSOFT,2025-06-23,1
NSE:NIRAJISPAT,2025-06-23,1
NSE:SHYAMTEL,2025-06-23,1
NSE:CALSOFT,2025-06-20,1
NSE:NIRAJISPAT,2025-06-20,1
NSE:TCIFINANCE,2025-06-20,1
NSE:NIRAJISPAT,2025-06-19,1
NSE:CALSOFT,2025-06-18,1
NSE:SHYAMTEL,2025-06-18,1
NSE:TCIFINANCE,2025-06-18,1
NSE:CALSOFT,2025-06-17,1
NSE:NAVKARURB,2025-06-17,1
NSE:SHYAMTEL,2025-06-17,1
NSE:TCIFINANCE,2025-06-17,1
NSE:NIRAJISPAT,2025-06-16,1
NSE:SHYAMTEL,2025-06-16,1
NSE:PRUDMOULI,2025-06-13,1
NSE:ELECTHERM,2025-06-12,1
NSE:PRUDMOULI,2025-06-12,1
NSE:ELECTHERM,2025-06-11,1
NSE:PRUDMOULI,2025-06-11,1
NSE:GLFL,2025-06-10,1
NSE:INFOMEDIA,2025-06-10,1
NSE:PRUDMOULI,2025-06-09,1
NSE:INFOMEDIA,2025-06-06,1
NSE:REGENCERAM,2025-06-05,1
NSE:OILCOUNTUB,2025-06-04,1
NSE:REGENCERAM,2025-06-04,1
NSE:ASHAPURMIN,2025-06-03,1
NSE:GATECH,2025-06-03,1
NSE:RHFL,2025-06-03,1
NSE:ASHAPURMIN,2025-06-02,1
NSE:THOMASCOTT,2025-05-30,1
NSE:ABAN,2025-05-29,1
NSE:THOMASCOTT,2025-05-29,1
NSE:ATLASCYCLE,2025-05-28,1
NSE:NAVKARURB,2025-05-28,1
NSE:TIL,2025-05-28,1
NSE:ATLASCYCLE,2025-05-27,1
NSE:MAANALU,2025-05-27,1
NSE:RHFL,2025-05-27,1
NSE:SAGILITY,2025-05-27,1
NSE:TIL,2025-05-27,1
NSE:KERNEX,2025-05-26,1
NSE:NIBE,2025-05-26,1
NSE:HECPROJECT,2025-05-23,1
NSE:ATLASCYCLE,2025-05-22,1
NSE:INDOTECH,2025-05-22,1
NSE:PRAXIS,2025-05-22,1
NSE:INDOTECH,2025-05-21,1
NSE:PRAXIS,2025-05-21,1
NSE:ALKALI,2025-05-20,1
NSE:CCCL,2025-05-20,1
NSE:HONDAPOWER,2025-05-20,1
NSE:KAPSTON,2025-05-20,1
NSE:LAL,2025-05-20,1
NSE:MANORG,2025-05-20,1
NSE:PRAXIS,2025-05-20,1
NSE:CCCL,2025-05-19,1
NSE:LAL,2025-05-19,1
NSE:PRAXIS,2025-05-19,1
NSE:SHREERAMA,2025-05-19,1
NSE:ZENTEC,2025-05-19,1
NSE:LAL,2025-05-16,1
NSE:MANORG,2025-05-16,1
NSE:SHREERAMA,2025-05-16,1
NSE:TIL,2025-05-16,1
NSE:GOLDTECH,2025-05-15,1
NSE:LAL,2025-05-15,1
NSE:RKEC,2025-05-15,1
NSE:SHREERAMA,2025-05-15,1
NSE:TIL,2025-05-15,1
NSE:ZENTEC,2025-05-15,1
NSE:AARTISURF,2025-05-14,1
NSE:GOLDTECH,2025-05-14,1
NSE:KEEPLEARN,2025-05-14,1
NSE:ESSARSHPNG,2025-05-14,1
NSE:FOCUS,2025-05-14,1
NSE:LAL,2025-05-14,1
NSE:YAARI,2025-05-14,1
NSE:AARTISURF,2025-05-13,1
NSE:RKEC,2025-05-13,1
NSE:WEBELSOLAR,2025-05-13,1
NSE:YAARI,2025-05-13,1
NSE:BIRLACORPN,2025-05-12,1
NSE:EPACK,2025-05-12,1
NSE:NIBE,2025-05-12,1
NSE:ORIENTTECH,2025-05-12,1
NSE:WEBELSOLAR,2025-05-12,1
NSE:ZENTEC,2025-05-12,1
NSE:KSOLVES,2025-05-06,1
NSE:KSOLVES,2025-05-05,1
NSE:E2E,2025-04-29,1
NSE:SECMARK,2025-04-29,1
NSE:SELMC,2025-04-29,1
NSE:E2E,2025-04-28,1
NSE:SELMC,2025-04-28,1
NSE:NACLIND,2025-04-25,1
NSE:SELMC,2025-04-25,1
NSE:NACLIND,2025-04-24,1
NSE:ATLANTAA,2025-04-23,1
NSE:ATLANTAA,2025-04-22,1
NSE:ESSARSHPNG,2025-04-22,1
NSE:NACLIND,2025-04-22,1
NSE:GATECHDVR,2025-04-21,1
NSE:GLFL,2025-04-21,1
NSE:RAJTV,2025-04-21,1
NSE:GLFL,2025-04-17,1
NSE:RAJTV,2025-04-17,1
NSE:KITEX,2025-04-16,1
NSE:NIBE,2025-04-16,1
NSE:AKSHOPTFBR,2025-04-15,1
NSE:EPACK,2025-04-15,1
NSE:GRWRHITECH,2025-04-15,1
NSE:GLFL,2025-04-15,1
NSE:KITEX,2025-04-15,1
NSE:NACLIND,2025-04-15,1
NSE:NIBE,2025-04-15,1
